formula,Crystal System,band_gap_calculated (eV)
Cs2KYF6,Cubic,6.464
Rb2NaTbF6,Cubic,6.4622
K2P3H7O9,Triclinic,6.4609
LiB6O9F,Orthorhombic,6.4556
Rb2NaYF6,Cubic,6.4476
LiBH6O,Monoclinic,6.4335
LiSiBO4,Tetragonal,6.4308
KRb2AlF6,Cubic,6.4284
BeH8(NF2)2,Orthorhombic,6.4265
BaB2S3O13,Orthorhombic,6.4104
KB(SO4)2,Tetragonal,6.4023
Li10B14Cl2O25,Cubic,6.4019
CaP2H6O7,Triclinic,6.4004
LiCaGaF6,Trigonal,6.4003
Li2B3H14N,Orthorhombic,6.3948
KNa(BH4)2,Trigonal,6.394
KNaMg2F6,Tetragonal,6.3905
KRb2YF6,Monoclinic,6.383
KRb2ScF6,Cubic,6.3813
K2LiNdF6,Cubic,6.3791
CsB3PbF12,Monoclinic,6.3778
KCOF3,Monoclinic,6.3741
SiH9C4F3,Monoclinic,6.367
NaCaLaF6,Trigonal,6.3624
Cs2NaCeF6,Cubic,6.3611
RbCOF3,Monoclinic,6.3606
CsB(CN)4,Tetragonal,6.3553
Na2Mg2(SO4)3,Monoclinic,6.3548
BH4C4N5,Tetragonal,6.3532
KNa(BH4)2,Trigonal,6.3524
K2ZrHF7,Orthorhombic,6.3496
LiB(CN)4,Cubic,6.3482
Be2BO3F,Trigonal,6.3476
LiMg6AlO8,Tetragonal,6.3377
GeH2(C2F5)2,Orthorhombic,6.3321
AlH12(OF)5,Monoclinic,6.3213
K2Mg(BH4)4,Monoclinic,6.3148
RbB(CN)4,Tetragonal,6.3138
Na3Li4Th6F31,Trigonal,6.3084
Rb2NaSmF6,Cubic,6.3067
NaBOF2,Monoclinic,6.3006
Na2MgScF7,Orthorhombic,6.2972
SiH14(OF)6,Monoclinic,6.2972
Cs2KPrF6,Cubic,6.2956
RbBe3ZnF9,Hexagonal,6.2944
BH5(NF2)2,Monoclinic,6.2913
KNaMg2F6,Cubic,6.2869
Rb2Hf3OF12,Trigonal,6.2789
Li2B6O9F2,Monoclinic,6.2705
Al2P3(HO3)3,Hexagonal,6.2699
PH6NO3,Monoclinic,6.2582
LiB5H2O9,Monoclinic,6.2496
KBe3ZnF9,Hexagonal,6.2459
LiYMg6O8,Tetragonal,6.2437
K2NaYF6,Cubic,6.2393
Li5B(SO4)4,Monoclinic,6.2314
Cs2KLaF6,Cubic,6.2199
Rb2NaNdF6,Cubic,6.2143
Na3Th10BeF45,Tetragonal,6.2138
Cs2RbYF6,Cubic,6.1978
Li6ZrBeF12,Tetragonal,6.1894
HfH6O3F4,Monoclinic,6.1892
KNa(BH4)2,Trigonal,6.187
SiC(ClF)3,Monoclinic,6.1814
C2S(OF)4,Monoclinic,6.1791
BeH4NF3,Orthorhombic,6.1675
MgH4(ClO)2,Monoclinic,6.167
Rb2NaPrF6,Cubic,6.1649
ErMg(BO2)5,Monoclinic,6.1636
KNa(BH4)2,Trigonal,6.1608
NaZn2(BH4)5,Monoclinic,6.1595
BH8CN,Orthorhombic,6.158
YB6(HO4)3,Trigonal,6.152
Be2BHO4,Orthorhombic,6.1491
Rb2Be3Ni2F12,Cubic,6.149
LiHSO4,Monoclinic,6.1448
H6C2SO4,Orthorhombic,6.1425
RbY(BH4)4,Monoclinic,6.1376
HoMg(BO2)5,Monoclinic,6.1371
KLi(BH4)2,Orthorhombic,6.1328
MgH6(SO4)4,Monoclinic,6.131
AlH15(OF)6,Triclinic,6.1309
Li3B(PO4)2,Triclinic,6.1272
K2LiGaF6,Cubic,6.1271
CsCOF3,Monoclinic,6.1248
NaP2H5O6,Monoclinic,6.121
K2Na2NdF7,Cubic,6.1175
Al6B5(O5F)3,Hexagonal,6.1148
K2Be3Ni2F12,Cubic,6.1124
Rb2LiGaF6,Trigonal,6.1124
Cs2LiGaF6,Trigonal,6.1115
Sc3H20N5F14,Tetragonal,6.108
H6C2SO4,Monoclinic,6.1056
KB5(H2O5)2,Monoclinic,6.1032
BaNaGaF6,Orthorhombic,6.093
Cs2B2S3O13,Monoclinic,6.0917
BeH4NF3,Monoclinic,6.0912
DyMg(BO2)5,Monoclinic,6.0889
LiBeBO3,Triclinic,6.0842
LiC4OF9,Monoclinic,6.0742
TbMg(BO2)5,Monoclinic,6.0706
CaPH3O4,Monoclinic,6.0672
MgB4(H10N)2,Orthorhombic,6.0629
BaNaZrF7,Orthorhombic,6.0616
Na2LiScF6,Cubic,6.0598
KBOF2,Monoclinic,6.0598
ErH3(SO4)3,Monoclinic,6.0586
Li2BeSiO4,Monoclinic,6.0565
K2Zn(CN)4,Cubic,6.0508
AlP3H10O11,Orthorhombic,6.049
Cs2KGaF6,Cubic,6.0476
KY(BH4)4,Orthorhombic,6.0454
H6CNF,Trigonal,6.0427
NaB(SO4)2,Monoclinic,6.0379
NaB(H4O)2,Orthorhombic,6.0374
Ba4P3HF24,Triclinic,6.0339
Tm5B2(O2F3)3,Monoclinic,6.0317
NdP2(HO2)3,Monoclinic,6.0288
LiY(PO3)4,Monoclinic,6.027
Ho5B2(O2F3)3,Monoclinic,6.0236
ZrH6(OF3)2,Monoclinic,6.0184
KEr(SO4)2,Monoclinic,6.0163
BH2NCl2,Orthorhombic,6.0162
BeP2(HO)4,Tetragonal,6.0155
BaCaGaF7,Monoclinic,6.0128
Li2H4(SO4)3,Orthorhombic,6.0118
LiTb(PO3)4,Monoclinic,6.0116
CaBe2(PO4)2,Monoclinic,6.0097
MgAlBO4,Orthorhombic,6.0077
ScH4NF4,Orthorhombic,6.0073
LiSm(PO3)4,Monoclinic,6.0068
MgB4(H10N)2,Orthorhombic,6.0067
SmMg(BO2)5,Monoclinic,6.0056
LiHo(PO3)4,Monoclinic,6.0045
NaSrGaF6,Orthorhombic,5.9984
MgH8(NF2)2,Monoclinic,5.9978
K2Cd(CN)4,Cubic,5.9944
K2NaNdF6,Cubic,5.9905
Er5B2(O2F3)3,Monoclinic,5.9864
BaBClF4,Orthorhombic,5.9817
Rb2LiGaF6,Cubic,5.9815
LiNd(PO3)4,Monoclinic,5.9792
AlP3(HO5)2,Monoclinic,5.9782
NdMg(BO2)5,Monoclinic,5.9713
Cs2NaGaF6,Trigonal,5.9704
NaYMg6O8,Tetragonal,5.9677
LiDy(PO3)4,Monoclinic,5.9658
Li3B3(H8N)2,Monoclinic,5.961
Dy5B2(O2F3)3,Monoclinic,5.961
Be2BH3O5,Monoclinic,5.9569
LiEr(PO3)4,Monoclinic,5.9556
NaY(BH4)4,Orthorhombic,5.9548
K2NaGaF6,Cubic,5.952
K2NaPrF6,Cubic,5.9483
PrMg(BO2)5,Monoclinic,5.9465
K2RbAlF6,Cubic,5.9464
Mg3B7BrO13,Cubic,5.9459
Cs2RbGaF6,Cubic,5.9411
PH5CO3,Monoclinic,5.9357
Li4P5HO15,Triclinic,5.9352
Mg3B7ClO13,Cubic,5.931
SrBe2(PO4)2,Monoclinic,5.9252
KB(CN)4,Tetragonal,5.9167
H3SNO3,Orthorhombic,5.9117
MgB3H20N3,Triclinic,5.9079
CaB3H3O7,Monoclinic,5.9041
Rb2NaGaF6,Cubic,5.9026
CsB5(H2O3)4,Monoclinic,5.9007
K2Zn(CN)4,Trigonal,5.8999
H2CSO4,Orthorhombic,5.8997
CaH6(SO4)4,Triclinic,5.8984
Na2MgGaF7,Orthorhombic,5.8978
Al2P3H11O13,Monoclinic,5.8945
KRb2GaF6,Cubic,5.8894
BaBOF3,Orthorhombic,5.8893
Li3B5(HO5)2,Tetragonal,5.8854
H4NOF,Orthorhombic,5.8838
RbLu(SO4)2,Monoclinic,5.8838
NaLiB4O7,Orthorhombic,5.8776
Li4B7ClO12,Trigonal,5.8739
Li2Mg2(SO4)3,Orthorhombic,5.8733
CsRb2ScF6,Cubic,5.8718
BeH6(NF)2,Monoclinic,5.8694
SrH4(SO4)3,Triclinic,5.8656
TbP4HO12,Monoclinic,5.865
AlH12(NF2)3,Orthorhombic,5.861
CsP2(HO2)3,Triclinic,5.861
Be3P2(H2O5)2,Monoclinic,5.8582
RbCaZrF7,Orthorhombic,5.8562
LiP(HO2)2,Orthorhombic,5.8554
K2RbScF6,Cubic,5.8541
YSO4F,Orthorhombic,5.8517
K2Hg(CN)4,Cubic,5.8512
BaLi(B3O5)3,Trigonal,5.8511
CaH2(SO4)2,Orthorhombic,5.8501
Cs2NaGaF6,Cubic,5.8467
NaTb(PO3)4,Monoclinic,5.8442
LiSi2BO6,Monoclinic,5.8434
CsHSO3,Trigonal,5.8427
Rb2Be3Zn2F12,Cubic,5.8392
CsB5(H2O3)4,Monoclinic,5.8357
Li3B5(HO5)2,Tetragonal,5.8338
NaLi2AlF6,Cubic,5.8337
CsRb2AlF6,Cubic,5.8323
NaMg6AlO8,Tetragonal,5.8311
NaSm(PO3)4,Monoclinic,5.8294
LiNd(PO3)4,Monoclinic,5.8289
NaHo(PO3)4,Monoclinic,5.8251
LiMg6AlO8,Tetragonal,5.8199
NaY(BH4)4,Orthorhombic,5.8185
NaB5H10O13,Monoclinic,5.8176
Al2H10S3O17,Monoclinic,5.8156
NaBePO4,Monoclinic,5.8139
LiEr(PO3)4,Monoclinic,5.8137
AlH6N2F3,Monoclinic,5.8135
CaB3HO6,Orthorhombic,5.8113
KBe(PO3)3,Orthorhombic,5.8102
NaP2H5O8,Monoclinic,5.8073
KB5(H2O3)4,Orthorhombic,5.804
NaNd(PO3)4,Monoclinic,5.8029
BaP2(HO2)4,Orthorhombic,5.801
KH3(SO4)2,Monoclinic,5.7973
BaLi(B3O5)3,Trigonal,5.7965
Y2SiP4O15,Orthorhombic,5.7959
HoHSO5,Monoclinic,5.7946
NaY(PO3)4,Monoclinic,5.7942
LiSO3F,Monoclinic,5.7916
RbP2(HO2)3,Triclinic,5.7905
Rb2B10H6O19,Triclinic,5.7894
NaEr(PO3)4,Monoclinic,5.7874
K2Be3Zn2F12,Cubic,5.787
ZnB12(H5O12)2,Monoclinic,5.7838
BaLi(B3O5)3,Trigonal,5.7835
NaSiBO4,Monoclinic,5.778
BH9(CO)3,Hexagonal,5.7775
Ca2AlPbF9,Triclinic,5.7775
KRb2GaF6,Tetragonal,5.7756
LiHo(SO4)2,Tetragonal,5.7722
LiMg6BO8,Tetragonal,5.7719
BaH2(SO4)2,Orthorhombic,5.7691
CsBS3O11,Monoclinic,5.769
SrPH3O4,Monoclinic,5.7674
NaZn(BH4)3,Monoclinic,5.7671
KP2(HO2)3,Monoclinic,5.7662
CaMg2(SO4)3,Hexagonal,5.7659
K2B10H6O19,Triclinic,5.7646
SiH9C3Cl,Monoclinic,5.7642
Rb2Hg(CN)4,Trigonal,5.7607
NaZn2(BH4)5,Monoclinic,5.7605
B5H12NO12,Orthorhombic,5.7604
LiEr(SO4)2,Tetragonal,5.7598
LiH7(SO4)4,Triclinic,5.7596
NaTm(SO4)2,Monoclinic,5.7586
BaLiZr2F11,Tetragonal,5.7585
Ca2H2S2O9,Monoclinic,5.7578
LiLu(SO4)2,Tetragonal,5.7573
ErH(SO4)2,Monoclinic,5.7564
YP(H2O3)2,Monoclinic,5.7542
SrLi(B3O5)3,Trigonal,5.7528
MgPH13O9,Trigonal,5.7485
LiB(HO)4,Orthorhombic,5.7468
H6CNF,Orthorhombic,5.7453
Na2LiGaF6,Cubic,5.7453
CsH4NF2,Orthorhombic,5.7447
LiAl(PO3)4,Orthorhombic,5.7441
SmB7(HO2)8,Triclinic,5.7436
LiY(BH4)4,Tetragonal,5.742
Be4Si2H2O9,Orthorhombic,5.7392
SmP4HO12,Triclinic,5.7384
NaB5(H2O5)2,Monoclinic,5.7346
NaEr(SO4)2,Monoclinic,5.7302
LiDy(SO4)2,Tetragonal,5.7301
B5H4NO8,Orthorhombic,5.7298
BaCa(PO3)4,Monoclinic,5.7286
NaZr2ZnF11,Monoclinic,5.7246
NaAl(SO4)2,Monoclinic,5.7223
Ca2B5H7O13,Monoclinic,5.7199
LiZn2(BH4)5,Orthorhombic,5.7198
RbDy(SO4)2,Orthorhombic,5.7194
LiBH6N,Orthorhombic,5.7189
KB5H2O9,Monoclinic,5.7167
KSr(BH4)3,Orthorhombic,5.7155
NaMg6BO8,Tetragonal,5.7154
AlP3(HO2)6,Monoclinic,5.7133
NaB11H12C,Orthorhombic,5.7094
CaP2H2O7,Monoclinic,5.706
BH10C2N,Monoclinic,5.7052
Mg3B7ClO13,Orthorhombic,5.7052
KRb2SiF7,Orthorhombic,5.7044
CsY(BH4)4,Tetragonal,5.7043
Na2H4(SO4)3,Orthorhombic,5.7006
CaB3H5O8,Monoclinic,5.7001
PH5NO4,Monoclinic,5.6995
BaNaZr2F11,Tetragonal,5.6992
BHS3O11,Monoclinic,5.6963
Al2Si(O2F)2,Orthorhombic,5.6953
CaB2(H7N)2,Orthorhombic,5.6941
NaNd(SO4)2,Triclinic,5.6936
CaBeB2O5,Monoclinic,5.6932
AlHSO5,Monoclinic,5.6906
CaH4SO6,Monoclinic,5.6879
K2Mg2(SO4)3,Cubic,5.6845
SrBeB2O5,Monoclinic,5.681
Nd2P3(HO2)5,Monoclinic,5.6809
Ca2SiB2O7,Tetragonal,5.6806
SrSi2(BO4)2,Orthorhombic,5.68
ZrH9N3F7,Monoclinic,5.6781
YH5S3O13,Triclinic,5.674
