formula,Crystal System,band_gap_calculated (eV)
S,Trigonal,1.395025
Sb,Cubic,0
Sb,Hexagonal,0
Sb,Monoclinic,0
Sb,Tetragonal,0
Sb,Triclinic,0
Sb,Trigonal,0
Sc,Cubic,0
Sc,Hexagonal,0
Sc,Tetragonal,0
Sc,Trigonal,0
Se,Cubic,0
Se,Monoclinic,1.5767
Se,Orthorhombic,0
Se,Trigonal,1.2047
Si,Cubic,0.61875
Si,Hexagonal,0.4182
Si,Monoclinic,0.636
Si,Orthorhombic,0.288985714
Si,Tetragonal,0.14765
Si,Triclinic,0.00307
Si,Trigonal,0.297733333
Sm,Cubic,0
Sm,Hexagonal,0
Sm,Trigonal,0
Sn,Cubic,0.12015
Sn,Orthorhombic,0
Sn,Tetragonal,0
Sr,Cubic,0
Sr,Hexagonal,0.092975
Sr,Tetragonal,0
Sr,Trigonal,0
Ta,Cubic,0
Ta,Hexagonal,0
Ta,Orthorhombic,0
Ta,Tetragonal,0
Tb,Cubic,0
Tb,Hexagonal,0
Tb,Trigonal,0
Tc,Cubic,0
Tc,Hexagonal,0
Te,Cubic,0
Te,Monoclinic,0
Te,Orthorhombic,0
Te,Trigonal,0.248733333
Th,Cubic,0
Ti,Cubic,0
Ti,Hexagonal,0
Ti,Triclinic,0.00126
Ti,Trigonal,0
Tl,Cubic,0
Tl,Hexagonal,0
Tl,Trigonal,0
Tm,Cubic,0
Tm,Hexagonal,0
Tm,Trigonal,0
U,Cubic,0
U,Hexagonal,0
U,Monoclinic,0
U,Orthorhombic,0
U,Tetragonal,0
V,Cubic,0
V,Hexagonal,0
W,Cubic,0
W,Hexagonal,0
W,Monoclinic,0
W,Orthorhombic,0
W,Tetragonal,0
Xe,Cubic,6.2231
Xe,Hexagonal,6.18555
Xe,Orthorhombic,6.11785
Xe,Trigonal,6.189333333
Y,Cubic,0
Y,Hexagonal,0
Y,Trigonal,0
Yb,Cubic,0
Yb,Hexagonal,0
Yb,Trigonal,0
Zn,Cubic,0
Zn,Hexagonal,0
Zn,Triclinic,0
Zn,Trigonal,0
Zr,Cubic,0
Zr,Hexagonal,0
Zr,Orthorhombic,0
MoN,Cubic,0
MoN,Hexagonal,0
MoN,Monoclinic,0
MoN,Orthorhombic,0
FeB,Orthorhombic,0
FeB,Tetragonal,0
Ac2Mg,Monoclinic,0
Ac2Mg,Orthorhombic,0
Ac2Mg,Tetragonal,0
Ac2O3,Trigonal,3.5226
Ac2S3,Tetragonal,2.2962
Ac2S3,Trigonal,3.0275
Ac3Ag,Hexagonal,0
Ac3Ag,Tetragonal,0
Ac3Au,Cubic,0
Ac3Br,Hexagonal,0
Ac3Cd,Hexagonal,0
Ac3Cd,Tetragonal,0
Ac3Ce,Cubic,0
Ac3Ce,Hexagonal,0
Ac3Ce,Tetragonal,0
Ac3Cl,Cubic,0
Ac3Cl,Hexagonal,0
Ac3Cr,Cubic,0
Ac3Dy,Hexagonal,0
Ac3Dy,Tetragonal,0
Ac3Er,Hexagonal,0
Ac3Er,Tetragonal,0
Ac3Eu,Hexagonal,0
Ac3Hg,Hexagonal,0
Ac3Ho,Hexagonal,0
Ac3I,Hexagonal,0
Ac3I,Tetragonal,0
Ac3In,Hexagonal,0
Ac3La,Hexagonal,0
Ac3La,Tetragonal,0
Ac3Lu,Hexagonal,0
Ac3Lu,Tetragonal,0
Ac3Mo,Tetragonal,0
Ac3Nb,Tetragonal,0
Ac3Nd,Hexagonal,0
Ac3Np,Hexagonal,0
Ac3Pa,Hexagonal,0
Ac3Pm,Hexagonal,0
Ac3Pr,Hexagonal,0
Ac3Sc,Hexagonal,0
Ac3Si,Hexagonal,0
Ac3Sm,Hexagonal,0
Ac3Sn,Cubic,0
Ac3Tb,Hexagonal,0
Ac3Th,Hexagonal,0
Ac3Ti,Tetragonal,0
Ac3Tl,Hexagonal,0
Ac3Tm,Hexagonal,0
