formula,Crystal System,band_gap_calculated (eV)
AgH,Hexagonal,0.8512
AgHg,Cubic,0
AgHg3,Cubic,0
AgI,Cubic,0.711933333
AgI,Hexagonal,1.547766667
AgI,Monoclinic,0.9589
AgI,Tetragonal,1.45645
AgI2,Tetragonal,0
AgIr,Hexagonal,0
AgN,Cubic,0
AgN,Hexagonal,0
AgN,Orthorhombic,0
AgN3,Orthorhombic,1.5714
AgN3,Tetragonal,1.6315
AgO,Cubic,0
AgO,Monoclinic,0.038666667
AgO,Orthorhombic,0
AgO,Tetragonal,0.0913
AgO2,Cubic,0
AgO2,Tetragonal,0
AgP15,Triclinic,1.2132
AgP2,Monoclinic,0.6587
AgPb3,Hexagonal,0
AgPb3,Tetragonal,0
AgPd,Hexagonal,0
AgPd,Trigonal,0
AgPt,Hexagonal,0
AgPt,Trigonal,0
AgPt3,Cubic,0
AgPt4,Trigonal,0
AgRh,Hexagonal,0
AgSe,Cubic,0
AgSe5,Monoclinic,0
AgSn3,Hexagonal,0
AgTe,Orthorhombic,0.2411
AgTe3,Cubic,0
AgTe3,Tetragonal,0
Al10V,Cubic,0
Al11Cr4,Triclinic,0
Al11O18,Monoclinic,0
Al11Re4,Triclinic,0
Al12Fe7,Triclinic,0
Al12Mo,Cubic,0
Al12Re,Cubic,0
Al12Ru,Cubic,0
Al12Tc,Cubic,0
Al12W,Cubic,0
Al13Co4,Orthorhombic,0
Al13Fe4,Monoclinic,0
Al13Os4,Monoclinic,0
Al13Rh4,Monoclinic,0
Al13Ru4,Monoclinic,0
Al17Mo4,Monoclinic,0
Al19Co6,Monoclinic,0
Al21Pd8,Tetragonal,0
Al21Pt5,Cubic,0
Al21Pt8,Tetragonal,0
Al22Mo5,Orthorhombic,0
Al23B50,Triclinic,0
Al23V4,Hexagonal,0
Al27V,Cubic,0
Al2Au,Cubic,0
Al2Cu,Cubic,0
Al2Cu,Tetragonal,0
Al2Mo3,Monoclinic,0
Al2Ni3,Tetragonal,0
Al2O,Cubic,0
Al2O,Triclinic,0
Al2O3,Cubic,2.8727
Al2O3,Hexagonal,4.7728
Al2O3,Monoclinic,3.670476923
Al2O3,Orthorhombic,4.658166667
Al2O3,Triclinic,3.282859016
Al2O3,Trigonal,4.684583333
Al2Os,Tetragonal,0.2899
Al2Pd,Cubic,0
Al2Pt,Cubic,0
Al2Ru,Orthorhombic,0.0864
Al2Ru,Tetragonal,0
Al2S3,Hexagonal,2.817
Al2S3,Monoclinic,3.0435
Al2S3,Tetragonal,2.0693
Al2S3,Triclinic,0.25625
Al2S3,Trigonal,1.21645
Al2Se3,Monoclinic,1.8004
Al2Se3,Tetragonal,1.1246
Al2Se3,Triclinic,0.586
